e911_calls.ai_crisis_classification,e911_calls.audio_duration_seconds,e911_calls.audio_file_name,e911_calls.call_id,e911_calls.call_priority,e911_calls.call_type,e911_calls.caller_age_estimate,e911_calls.caller_gender,e911_calls.caller_number,e911_calls.dispatcher_id,e911_calls.emotion_analysis,e911_calls.geolocation,e911_calls.incident_address,e911_calls.incident_risk_score,e911_calls.incident_type,e911_calls.known_individuals_involved,e911_calls.language_detected,e911_calls.location_type,e911_calls.notes,e911_calls.prior_incidents_last_30_days,e911_calls.repeat_call_location,e911_calls.response_status,e911_calls.response_time_seconds,e911_calls.response_unit_dispatched,e911_calls.suspected_substances,e911_calls.timestamp_received,e911_calls.transcription_keywords,e911_calls.transcription_source,e911_calls.transcription_status
"{""classified_as"":""Medical"",""confidence"":0.89,""model_version"":""amazon.titan-text-express-v1""}",141,911-20250420-0119.mp3,911-20250420-0119,High,Emergency,50,Male,001119393250124955,D3739,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Calm"",""urgency_score"":8.6}","{""census_tract"":""45180"",""county"":""Searcy"",""latitude"":35.25064,""longitude"":-91.73625,""state"":""TN""}","911 Allison Stravenue, West George, ND 01068",5.4,Burglary,False,English,School,Continue pull blue strong wonder interest method imagine seven fire letter mind many guess explain reveal bank management his lead save reach subject difficult imagine world into.,2,False,Arrived,189,Rescue 5,[],2025-04-20T05:29:01Z,"[""wind"",""better"",""degree"",""mean"",""remain"",""hand""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.96,""model_version"":""amazon.titan-text-express-v1""}",141,911-20250428-0030.mp3,911-20250428-0030,Critical,Emergency,69,Male,0345054156676,D3506,"{""agitation_level"":""High"",""caller_sentiment"":""Distressed"",""urgency_score"":9.1}","{""census_tract"":""23833"",""county"":""Camarillo"",""latitude"":34.21639,""longitude"":-119.0376,""state"":""MD""}","7584 Jessica Common, Morrisonburgh, LA 42602",8.3,Gunshots,True,English,School,Amount thank good your ever woman way avoid point guy song quickly well central parent sit alone attack sing hand him note painting.,4,False,Arrived,1001,Rescue 12,"[""Unknown Pills""]",2025-04-28T13:33:47Z,"[""bill"",""foreign"",""fast"",""knowledge"",""response"",""coach"",""know""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.83,""model_version"":""amazon.titan-text-express-v1""}",114,911-20250430-0895.mp3,911-20250430-0895,Medium,Emergency,35,Other,119942817834206,D5523,"{""agitation_level"":""Low"",""caller_sentiment"":""Panicked"",""urgency_score"":8.8}","{""census_tract"":""86268"",""county"":""Estelle"",""latitude"":29.84576,""longitude"":-90.10674,""state"":""PA""}","955 Lisa Flat, West Anne, VT 13449",1.9,Gunshots,False,English,School,Push democratic fact everybody cultural phone sign support tend party ball science several different heavy develop fall dinner price pretty professor share color effort me stuff.,5,True,Arrived,1102,Rescue 6,"[""Fentanyl""]",2025-04-30T05:24:59Z,"[""shoulder"",""know"",""personal"",""establish"",""stock""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.92,""model_version"":""amazon.titan-text-express-v1""}",84,911-20250419-0095.mp3,911-20250419-0095,Low,Emergency,21,Female,001994999393305172,D8849,"{""agitation_level"":""Low"",""caller_sentiment"":""Panicked"",""urgency_score"":7.9}","{""census_tract"":""20358"",""county"":""Gainesville"",""latitude"":29.65163,""longitude"":-82.32483,""state"":""TN""}","526 Wells Estates Apt. 306, West Stephaniebury, TN 27086",7.3,Assault,True,English,Public Park,Into simply part station result hour voice occur movie political region although body lead there there early Mrs.,4,False,Arrived,585,Rescue 15,"[""Fentanyl""]",2025-04-19T02:39:25Z,"[""serious"",""at"",""until"",""worry"",""term"",""majority"",""foot"",""leader""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.87,""model_version"":""amazon.titan-text-express-v1""}",40,911-20250423-0203.mp3,911-20250423-0203,High,Emergency,42,Male,640473504763928,D1760,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Panicked"",""urgency_score"":7.9}","{""census_tract"":""57349"",""county"":""Rutland"",""latitude"":43.61062,""longitude"":-72.97261,""state"":""PA""}","952 Stephanie Brooks, Davismouth, MI 72969",9.7,Traffic Accident,False,English,School,Soon treat former democratic safe vote already after wait bill huge machine church feeling discover significant easy evening buy.,5,True,Arrived,991,Rescue 16,[],2025-04-23T08:39:05Z,"[""as"",""any"",""decision"",""movement"",""world"",""study"",""how"",""responsibility""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.9,""model_version"":""amazon.titan-text-express-v1""}",78,911-20250424-0138.mp3,911-20250424-0138,Critical,Emergency,52,Other,0014818139890,D9348,"{""agitation_level"":""High"",""caller_sentiment"":""Calm"",""urgency_score"":6.2}","{""census_tract"":""96298"",""county"":""Gainesville"",""latitude"":29.65163,""longitude"":-82.32483,""state"":""VA""}","USNS Christensen, FPO AP 02947",1.5,Medical,False,English,Public Park,Know southern parent I and technology age join increase teacher fish either boy between collection century eight bed fill imagine college pass foot agree around hope.,5,False,Arrived,1120,Rescue 7,[],2025-04-24T01:08:07Z,"[""build"",""view"",""conference"",""affect"",""skill"",""early"",""relationship""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.81,""model_version"":""amazon.titan-text-express-v1""}",160,911-20250426-0945.mp3,911-20250426-0945,Low,Emergency,54,Female,00199151414050850,D9177,"{""agitation_level"":""High"",""caller_sentiment"":""Panicked"",""urgency_score"":8.4}","{""census_tract"":""12427"",""county"":""Keizer"",""latitude"":44.99012,""longitude"":-123.02621,""state"":""MD""}","474 Tara Spurs, Stoutchester, CA 24438",5.2,Assault,False,English,Public Park,Science condition future outside rich actually eye effect Mr base executive pick catch pull upon record state source hundred prepare seem control soldier water it task.,2,True,Arrived,1122,Rescue 17,[],2025-04-26T01:45:15Z,"[""commercial"",""in"",""laugh"",""floor"",""environment"",""despite""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.9,""model_version"":""amazon.titan-text-express-v1""}",120,911-20250428-0769.mp3,911-20250428-0769,Critical,Emergency,53,Male,20757931444941,D4423,"{""agitation_level"":""Low"",""caller_sentiment"":""Calm"",""urgency_score"":9.0}","{""census_tract"":""48191"",""county"":""North Tustin"",""latitude"":33.76446,""longitude"":-117.79394,""state"":""VA""}","459 Thompson Greens Apt. 840, Port Trevor, CA 46998",3.8,Burglary,True,English,Commercial,Arrive purpose time choose become traditional so visit bed most laugh young local often event stock health involve treatment people south rock rather.,4,False,Arrived,502,Rescue 7,"[""Fentanyl""]",2025-04-28T12:02:45Z,"[""late"",""type"",""program"",""increase"",""former""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.94,""model_version"":""amazon.titan-text-express-v1""}",174,911-20250429-0709.mp3,911-20250429-0709,Critical,Emergency,51,Female,6395257477,D1397,"{""agitation_level"":""Low"",""caller_sentiment"":""Distressed"",""urgency_score"":6.8}","{""census_tract"":""48099"",""county"":""Kensington"",""latitude"":40.64621,""longitude"":-73.97069,""state"":""GA""}","2123 Robertson Mills, Patrickland, RI 11168",7.4,Fire,True,English,Commercial,Camera cost organization police agreement art operation floor go box discover focus hair allow role attack difference.,3,True,Arrived,1021,Rescue 13,"[""Marijuana""]",2025-04-29T03:35:02Z,"[""until"",""series"",""strategy"",""light"",""health"",""or"",""protect"",""summer""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.96,""model_version"":""amazon.titan-text-express-v1""}",55,911-20250429-0726.mp3,911-20250429-0726,Medium,Emergency,61,Other,878989168317151,D6409,"{""agitation_level"":""High"",""caller_sentiment"":""Distressed"",""urgency_score"":5.5}","{""census_tract"":""21471"",""county"":""Rolla"",""latitude"":37.95143,""longitude"":-91.77127,""state"":""NY""}","41248 Mcknight Inlet Suite 731, South Charles, NJ 94080",6.5,Medical,True,English,Residential,Pressure myself little sport court account business wonder before manage third become ahead bit practice already billion call degree develop.,0,True,Arrived,694,Rescue 6,"[""Unknown Pills""]",2025-04-29T19:18:52Z,"[""enough"",""of"",""two"",""radio"",""I"",""fly"",""toward""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.82,""model_version"":""amazon.titan-text-express-v1""}",167,911-20250502-0162.mp3,911-20250502-0162,Low,Emergency,45,Other,4628314359,D7858,"{""agitation_level"":""High"",""caller_sentiment"":""Panicked"",""urgency_score"":9.5}","{""census_tract"":""17993"",""county"":""Bridgeport"",""latitude"":41.16704,""longitude"":-73.20483,""state"":""PA""}","2566 Tamara Gateway, West Davidville, OH 53818",3.7,Drug Overdose,False,English,Apartment Complex,Woman develop weight situation but money then open southern believe give occur example even between answer fish sell Congress south question.,3,True,Arrived,1130,Rescue 13,[],2025-05-02T02:19:45Z,"[""at"",""policy"",""guy"",""four"",""event"",""than"",""difficult"",""act""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.92,""model_version"":""amazon.titan-text-express-v1""}",122,911-20250503-0534.mp3,911-20250503-0534,Medium,Emergency,68,Other,970152213368960,D2252,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Calm"",""urgency_score"":8.9}","{""census_tract"":""20445"",""county"":""Jersey City"",""latitude"":40.72816,""longitude"":-74.07764,""state"":""KY""}","7612 Adrian Park, Peterville, DE 98503",8.1,Medical,False,English,Public Park,Receive various treatment task detail minute magazine must million good stock message safe white night pass however present national short.,3,True,Arrived,1095,Rescue 18,[],2025-05-03T14:28:16Z,"[""east"",""student"",""page"",""police"",""officer"",""team"",""organization"",""level""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.94,""model_version"":""amazon.titan-text-express-v1""}",98,911-20250510-0417.mp3,911-20250510-0417,Critical,Emergency,77,Male,41899740233868,D2000,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Panicked"",""urgency_score"":9.9}","{""census_tract"":""98185"",""county"":""Crystal Lake"",""latitude"":42.24113,""longitude"":-88.3162,""state"":""MD""}","Unit 0835 Box 7017, DPO AE 32633",2.9,Fire,True,English,Apartment Complex,And really rule music save development work since everyone attorney especially official on item at parent.,0,True,Arrived,79,Rescue 4,"[""Marijuana""]",2025-05-10T10:19:39Z,"[""impact"",""animal"",""performance"",""special"",""environmental"",""trouble"",""mention"",""in""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.93,""model_version"":""amazon.titan-text-express-v1""}",62,911-20250412-0229.mp3,911-20250412-0229,Critical,Emergency,22,Male,75240148439910,D5410,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Distressed"",""urgency_score"":7.1}","{""census_tract"":""12900"",""county"":""Lakewood"",""latitude"":41.48199,""longitude"":-81.79819,""state"":""PA""}","72362 Myers Fields, Port Michael, KY 18908",1.8,Fire,False,English,Commercial,Central every force PM minute modern sign out discussion just state must particular child they senior result themselves we American study eight phone.,1,True,Arrived,637,Rescue 4,"[""Unknown Pills""]",2025-04-12T22:35:50Z,"[""throughout"",""but"",""science"",""want"",""charge""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.91,""model_version"":""amazon.titan-text-express-v1""}",104,911-20250412-0247.mp3,911-20250412-0247,High,Emergency,65,Male,23873670425496,D1312,"{""agitation_level"":""Low"",""caller_sentiment"":""Panicked"",""urgency_score"":7.7}","{""census_tract"":""96898"",""county"":""Kahului"",""latitude"":20.88953,""longitude"":-156.47432,""state"":""TN""}","455 Mike Mountains, North Sergiochester, IL 43256",5.6,Burglary,False,English,Apartment Complex,Officer former create camera focus plan wife director or down standard major like affect memory believe seek perhaps ball make.,3,True,Arrived,280,Rescue 12,"[""Alcohol""]",2025-04-12T09:42:36Z,"[""read"",""travel"",""total"",""plant"",""top"",""live"",""exactly""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.88,""model_version"":""amazon.titan-text-express-v1""}",59,911-20250421-0819.mp3,911-20250421-0819,Low,Emergency,89,Male,0012239766215,D2522,"{""agitation_level"":""High"",""caller_sentiment"":""Calm"",""urgency_score"":5.6}","{""census_tract"":""71616"",""county"":""Norwalk"",""latitude"":41.24255,""longitude"":-82.61573,""state"":""OH""}","198 Sean Villages Apt. 729, Port Lori, ME 20775",6.7,Assault,True,English,Residential,Cold think customer old time star maintain pretty past go because participant side second vote growth support mean lay whom throughout power energy pressure positive staff.,0,False,Arrived,1083,Rescue 7,[],2025-04-21T12:44:38Z,"[""production"",""important"",""forward"",""shoulder"",""down""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.87,""model_version"":""amazon.titan-text-express-v1""}",94,911-20250421-0898.mp3,911-20250421-0898,High,Emergency,32,Male,23705067482522,D7670,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Calm"",""urgency_score"":9.7}","{""census_tract"":""22260"",""county"":""Ada"",""latitude"":34.77453,""longitude"":-96.67834,""state"":""PA""}","6547 Walker Club Suite 914, Michaelton, MS 44846",7.1,Fire,False,English,School,Join later himself suddenly cold treatment loss available fight key activity source yet friend coach central right color.,0,True,Arrived,156,Rescue 11,"[""Marijuana""]",2025-04-21T09:59:01Z,"[""different"",""yourself"",""understand"",""threat"",""citizen"",""use"",""kid"",""write""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.93,""model_version"":""amazon.titan-text-express-v1""}",134,911-20250423-0644.mp3,911-20250423-0644,Critical,Emergency,49,Other,+1470344633246568,D5466,"{""agitation_level"":""High"",""caller_sentiment"":""Panicked"",""urgency_score"":5.1}","{""census_tract"":""99180"",""county"":""Carlsbad"",""latitude"":32.42067,""longitude"":-104.22884,""state"":""OH""}","4635 Steven Park, West Teresa, CA 67960",4.4,Medical,True,English,Highway,Guess oil force in among up TV truth director despite season check notice house evening eight cause across civil wife campaign begin enter good truth plant.,3,False,Arrived,479,Rescue 10,"[""Marijuana""]",2025-04-23T22:48:45Z,"[""hand"",""skin"",""successful"",""matter"",""notice"",""hit""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.87,""model_version"":""amazon.titan-text-express-v1""}",78,911-20250425-0419.mp3,911-20250425-0419,High,Emergency,47,Other,3197774867,D7768,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Calm"",""urgency_score"":8.0}","{""census_tract"":""69233"",""county"":""Ada"",""latitude"":34.77453,""longitude"":-96.67834,""state"":""KY""}","41864 James Parkway Apt. 958, Hortonview, OK 55588",6.7,Fire,True,English,Highway,Heavy performance evidence learn stuff fall might better word court able idea successful degree whom trip beat begin speech type sometimes bed must change single though.,0,False,Arrived,1114,Rescue 16,[],2025-04-25T13:36:11Z,"[""city"",""position"",""detail"",""wife"",""investment"",""say"",""guess""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.94,""model_version"":""amazon.titan-text-express-v1""}",47,911-20250503-0645.mp3,911-20250503-0645,Critical,Emergency,44,Male,2376604142643,D9004,"{""agitation_level"":""High"",""caller_sentiment"":""Panicked"",""urgency_score"":6.4}","{""census_tract"":""93571"",""county"":""Longview"",""latitude"":32.5007,""longitude"":-94.74049,""state"":""NC""}","81372 Brittany Divide Apt. 093, Danielleberg, TN 25429",9.5,Traffic Accident,True,English,Residential,Nothing today news agent source quality property special cup approach nation Mrs defense your family material leader perhaps anyone.,1,False,Arrived,385,Rescue 4,"[""Unknown Pills""]",2025-05-03T19:16:20Z,"[""paper"",""coach"",""point"",""allow"",""respond"",""purpose""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.9,""model_version"":""amazon.titan-text-express-v1""}",176,911-20250504-0253.mp3,911-20250504-0253,Medium,Emergency,70,Male,0016873045195,D7457,"{""agitation_level"":""High"",""caller_sentiment"":""Panicked"",""urgency_score"":7.0}","{""census_tract"":""15482"",""county"":""Punta Gorda Isles"",""latitude"":26.91756,""longitude"":-82.07842,""state"":""OH""}","255 Malik Route Suite 629, Watsonstad, LA 19851",5.1,Fire,True,English,Highway,Under population late much quite threat gas truth work certain game plan seat surface off with society station how statement.,3,True,Arrived,700,Rescue 13,"[""Fentanyl""]",2025-05-04T05:04:42Z,"[""sport"",""seem"",""manager"",""my"",""growth"",""it"",""own"",""those""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.84,""model_version"":""amazon.titan-text-express-v1""}",144,911-20250508-0551.mp3,911-20250508-0551,High,Emergency,29,Other,5659695794,D4802,"{""agitation_level"":""Low"",""caller_sentiment"":""Panicked"",""urgency_score"":9.9}","{""census_tract"":""39368"",""county"":""Gilbert"",""latitude"":33.35283,""longitude"":-111.78903,""state"":""MD""}","9599 Cherry Burg Suite 536, New Jennifer, NV 15539",2.0,Traffic Accident,False,English,Highway,Difference general civil fine school production happen speak article laugh protect morning with clearly service hour finish them particular report begin strategy hear far fast chance.,4,False,Arrived,873,Rescue 1,[],2025-05-08T12:48:48Z,"[""feel"",""hair"",""three"",""style"",""today""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.98,""model_version"":""amazon.titan-text-express-v1""}",175,911-20250508-0705.mp3,911-20250508-0705,High,Emergency,50,Other,81135373965272,D1654,"{""agitation_level"":""Low"",""caller_sentiment"":""Distressed"",""urgency_score"":6.2}","{""census_tract"":""22568"",""county"":""Acworth"",""latitude"":34.06635,""longitude"":-84.67837,""state"":""SC""}","867 Harrison Circle Suite 548, South Christopherburgh, OR 79819",4.0,Mental Health Crisis,True,English,Industrial,Act prevent off describe receive bit wonder hospital occur likely energy after ask its nation movie away matter base career parent attack entire red.,0,True,Arrived,479,Rescue 14,[],2025-05-08T15:02:16Z,"[""his"",""she"",""us"",""for"",""region"",""consumer""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.95,""model_version"":""amazon.titan-text-express-v1""}",72,911-20250509-0238.mp3,911-20250509-0238,Critical,Emergency,29,Female,2939469434,D2705,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Distressed"",""urgency_score"":7.8}","{""census_tract"":""56918"",""county"":""Punta Gorda Isles"",""latitude"":26.91756,""longitude"":-82.07842,""state"":""NY""}","6643 King Branch, Williamsmouth, TN 90875",4.0,Assault,True,English,Industrial,Cold science western resource reason expect expert talk end set house those dark beat suffer customer million along long born.,4,False,Arrived,934,Rescue 15,"[""Unknown Pills""]",2025-05-09T02:16:55Z,"[""development"",""point"",""boy"",""total"",""major"",""contain""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.97,""model_version"":""amazon.titan-text-express-v1""}",45,911-20250412-0955.mp3,911-20250412-0955,Critical,Emergency,86,Female,77051047308028,D2023,"{""agitation_level"":""Low"",""caller_sentiment"":""Calm"",""urgency_score"":9.3}","{""census_tract"":""64778"",""county"":""Martinsburg"",""latitude"":39.45621,""longitude"":-77.96389,""state"":""SC""}","11482 Soto Walks, Port Jodibury, KY 39241",7.3,Assault,False,English,Apartment Complex,Often student administration again before later moment room difficult everybody account election peace become beautiful picture Democrat kitchen home.,4,False,Arrived,410,Rescue 20,[],2025-04-12T02:13:35Z,"[""finally"",""note"",""mouth"",""open"",""chair"",""foreign"",""include""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.82,""model_version"":""amazon.titan-text-express-v1""}",111,911-20250415-0563.mp3,911-20250415-0563,Critical,Emergency,28,Female,0378088669320,D6450,"{""agitation_level"":""High"",""caller_sentiment"":""Calm"",""urgency_score"":6.0}","{""census_tract"":""46369"",""county"":""Deltona"",""latitude"":28.90054,""longitude"":-81.26367,""state"":""PA""}","834 Wheeler Spring, Vasquezport, NV 54157",1.1,Drug Overdose,True,English,Apartment Complex,Sometimes pull especially future first card likely growth everybody significant member maybe land one marriage officer about try American film share senior article join.,4,False,Arrived,94,Rescue 7,"[""Alcohol""]",2025-04-15T00:36:51Z,"[""value"",""compare"",""important"",""arrive""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.83,""model_version"":""amazon.titan-text-express-v1""}",142,911-20250418-0120.mp3,911-20250418-0120,High,Emergency,16,Female,52071678112669,D6399,"{""agitation_level"":""Low"",""caller_sentiment"":""Panicked"",""urgency_score"":9.7}","{""census_tract"":""53544"",""county"":""Stockbridge"",""latitude"":33.54428,""longitude"":-84.23381,""state"":""OH""}","Unit 2153 Box 5396, DPO AE 31023",9.8,Assault,False,English,Apartment Complex,Green project wear would memory challenge lawyer business majority discuss wall ahead scene store marriage ago condition painting force few perhaps set.,5,False,Arrived,838,Rescue 20,"[""Marijuana""]",2025-04-18T13:51:24Z,"[""study"",""rise"",""everything"",""require"",""old"",""event""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.94,""model_version"":""amazon.titan-text-express-v1""}",67,911-20250418-0317.mp3,911-20250418-0317,Medium,Emergency,42,Other,00123112327489791,D2487,"{""agitation_level"":""High"",""caller_sentiment"":""Panicked"",""urgency_score"":5.3}","{""census_tract"":""36217"",""county"":""Lino Lakes"",""latitude"":45.16024,""longitude"":-93.08883,""state"":""NY""}","34272 James Village Suite 217, Jenniferside, CA 80027",2.4,Gunshots,False,English,Commercial,Foot nation stop environment throw former director figure along TV record plant billion attorney their key measure.,2,False,Arrived,119,Rescue 12,"[""Fentanyl""]",2025-04-18T00:13:47Z,"[""six"",""while"",""step"",""effort"",""resource"",""create"",""hit"",""yes""]",AWS Transcribe,Completed
"{""classified_as"":""Violent"",""confidence"":0.97,""model_version"":""amazon.titan-text-express-v1""}",128,911-20250420-0421.mp3,911-20250420-0421,Low,Emergency,27,Other,26838488763802,D6349,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Panicked"",""urgency_score"":8.2}","{""census_tract"":""67002"",""county"":""Visitacion Valley"",""latitude"":37.71715,""longitude"":-122.40433,""state"":""NC""}","USCGC Ross, FPO AE 31669",3.3,Robbery,False,English,Industrial,Agreement sure scene natural southern between up positive music poor suggest six better short spring ago still according I resource sure other their another only detail single.,5,True,Arrived,388,Rescue 1,"[""Fentanyl""]",2025-04-20T06:34:07Z,"[""order"",""race"",""Congress"",""very"",""skill""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.97,""model_version"":""amazon.titan-text-express-v1""}",151,911-20250423-0022.mp3,911-20250423-0022,Medium,Emergency,55,Other,7661771159,D5011,"{""agitation_level"":""Low"",""caller_sentiment"":""Distressed"",""urgency_score"":7.0}","{""census_tract"":""36100"",""county"":""Kendall"",""latitude"":25.67927,""longitude"":-80.31727,""state"":""GA""}","9985 Vang Pines, Shawnchester, WY 92484",9.0,Mental Health Crisis,True,English,Commercial,Fund law indeed believe interview professor hear check type attack story behavior benefit school speech news only no form business government program.,3,False,Arrived,154,Rescue 1,[],2025-04-23T09:38:30Z,"[""boy"",""pressure"",""there"",""necessary"",""tend"",""involve"",""thousand""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.92,""model_version"":""amazon.titan-text-express-v1""}",68,911-20250423-0407.mp3,911-20250423-0407,Critical,Emergency,26,Other,1132661158,D4309,"{""agitation_level"":""High"",""caller_sentiment"":""Calm"",""urgency_score"":6.4}","{""census_tract"":""28029"",""county"":""Westchester"",""latitude"":41.85059,""longitude"":-87.882,""state"":""VA""}","052 Allen Shoals Apt. 196, West Virginiaburgh, AK 41597",1.3,Mental Health Crisis,False,English,Public Park,Fast risk when arm mother through significant truth time bag seek eye second statement occur role office instead society.,5,True,Arrived,667,Rescue 16,"[""Fentanyl""]",2025-04-23T19:45:04Z,"[""difficult"",""toward"",""question"",""live"",""weight"",""guy""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.94,""model_version"":""amazon.titan-text-express-v1""}",62,911-20250501-0080.mp3,911-20250501-0080,Low,Emergency,81,Female,2138658902601,D1570,"{""agitation_level"":""Moderate"",""caller_sentiment"":""Calm"",""urgency_score"":8.4}","{""census_tract"":""14081"",""county"":""Martinsburg"",""latitude"":39.45621,""longitude"":-77.96389,""state"":""SC""}","611 Walker Common Apt. 669, Jenniferton, HI 84425",4.3,Drug Overdose,True,English,Commercial,Past purpose growth pretty wish beautiful every human prove if customer address region try near risk next.,5,True,Arrived,957,Rescue 20,"[""Unknown Pills""]",2025-05-01T17:16:09Z,"[""manager"",""action"",""sure"",""us"",""million"",""crime"",""six"",""member""]",AWS Transcribe,Completed
"{""classified_as"":""Medical"",""confidence"":0.84,""model_version"":""amazon.titan-text-express-v1""}",95,911-20250508-0614.mp3,911-20250508-0614,Low,Emergency,33,Female,59481827291367,D8692,"{""agitation_level"":""High"",""caller_sentiment"":""Distressed"",""urgency_score"":8.7}","{""census_tract"":""93473"",""county"":""Massapequa"",""latitude"":40.68066,""longitude"":-73.47429,""state"":""NY""}","164 Benson Ports Apt. 532, New Diamondville, ID 08579",5.9,Mental Health Crisis,True,English,Residential,Face myself value win road challenge risk same edge company hotel street picture yourself citizen yet finish visit.,5,False,Arrived,1035,Rescue 10,"[""Alcohol""]",2025-05-08T01:19:57Z,"[""military"",""third"",""design"",""grow"",""stock"",""move"",""color""]",AWS Transcribe,Completed
"{""classified_as"":""None"",""confidence"":0.92,""model_version"":""amazon.titan-text-express-v1""}",164,911-20250412-0809.mp3,911-20250412-0809,Medium,Emergency,62,Male,+144073197189011,D2140,"{""agitation_level"":""High"",""caller_sentiment"":""Calm"",""urgency_score"":5.6}","{""census_tract"":""31981"",""county"":""Fitchburg"",""latitude"":42.58342,""longitude"":-71.8023,""state"":""PA""}","7291 Montgomery Roads, Sarahchester, SC 51921",5.9,Burglary,True,English,Public Park,Detail consumer game happen write religious myself blood range time seem activity accept say bag tend determine bed citizen notice another stuff manage attorney scene then.,5,True,Arrived,488,Rescue 10,"[""Alcohol""]",2025-04-12T07:24:58Z,"[""indeed"",""inside"",""low"",""yard"",""major""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.87,""model_version"":""amazon.titan-text-express-v1""}",88,911-20250412-0937.mp3,911-20250412-0937,Critical,Emergency,58,Male,+13873680729,D1163,"{""agitation_level"":""High"",""caller_sentiment"":""Panicked"",""urgency_score"":8.5}","{""census_tract"":""85185"",""county"":""Port Huron"",""latitude"":42.97086,""longitude"":-82.42491,""state"":""OH""}","084 Patricia Path, South Mariaport, DC 61895",3.3,Robbery,True,English,Residential,Page lay admit find view every future door production help able group rich purpose pass memory stuff look decision agreement manage station dream yes space lead coach.,1,True,Arrived,478,Rescue 7,"[""Marijuana""]",2025-04-12T18:55:22Z,"[""require"",""without"",""present"",""age""]",AWS Transcribe,Completed
"{""classified_as"":""Substance Abuse"",""confidence"":0.93,""model_version"":""amazon.titan-text-express-v1""}",124,911-20250413-0060.mp3,911-20250413-0060,Medium,Emergency,83,Male,65861793271040,D3578,"{""agitation_level"":""Low"",""caller_sentiment"":""Panicked"",""urgency_score"":5.2}","{""census_tract"":""59308"",""county"":""Yonkers"",""latitude"":40.93121,""longitude"":-73.89875,""state"":""GA""}","52621 Matthew Ridges, Bushchester, GA 80103",6.4,Fire,False,English,School,Reveal role enter example down anyone occur style child guess into far product outside current agent color factor bank such final however major produce before name.,4,False,Arrived,758,Rescue 15,"[""Unknown Pills""]",2025-04-13T11:43:05Z,"[""threat"",""church"",""big"",""day"",""couple""]",AWS Transcribe,Completed
